"","subject.id","subject.mass","cage","Date.Time","vo2","vco2","ee","rer","feed","feed.acc","drink","drink.acc","xytot","xyamb","pedmeter","allmeter","body.temp","hour","day","exp.hour","exp.day"
"1","a98",1,"0101",2017-04-28 16:46:56,156033,114728,0.7,0.735,0,0,NA,NA,1099,625,NA,NA,0,2017-04-28 16:00:00,2017-04-28,0,0
"2","a98",1,"0101",2017-04-28 17:00:56,146747,108498,0.7,0.739,0,0,NA,NA,2992,1514,NA,NA,0,2017-04-28 17:00:00,2017-04-28,1,0
"3","a98",1,"0101",2017-04-28 17:14:56,134101,98180,0.6,0.732,0,0,NA,NA,2937,1511,NA,NA,0,2017-04-28 17:00:00,2017-04-28,1,0
"4","a98",1,"0101",2017-04-28 17:28:56,139315,104512,0.7,0.75,0,0,NA,NA,3005,1474,NA,NA,0,2017-04-28 17:00:00,2017-04-28,1,0
"5","a98",1,"0101",2017-04-28 17:42:56,146621,108094,0.7,0.737,0,0,NA,NA,2617,1095,NA,NA,0,2017-04-28 17:00:00,2017-04-28,1,0
"6","a98",1,"0101",2017-04-28 17:56:56,130869,94152,0.6,0.719,0,0,NA,NA,2427,1192,NA,NA,0,2017-04-28 17:00:00,2017-04-28,1,0
"7","a98",1,"0101",2017-04-28 18:10:56,145053,104828,0.7,0.723,0,0,NA,NA,3210,1926,NA,NA,0,2017-04-28 18:00:00,2017-04-28,2,0
"8","a98",1,"0101",2017-04-28 18:24:56,149645,108772,0.7,0.727,0,0,NA,NA,2953,1750,NA,NA,0,2017-04-28 18:00:00,2017-04-28,2,0
"9","a98",1,"0101",2017-04-28 18:38:56,132070,96541,0.6,0.731,0,0,NA,NA,1720,503,NA,NA,0,2017-04-28 18:00:00,2017-04-28,2,0
"10","a98",1,"0101",2017-04-28 18:52:56,117879,84624,0.6,0.718,0.03,0.03,NA,NA,1264,468,NA,NA,0,2017-04-28 18:00:00,2017-04-28,2,0
"11","a98",1,"0101",2017-04-28 19:06:56,120189,89334,0.6,0.743,0.05,0.08,NA,NA,681,277,NA,NA,0,2017-04-28 19:00:00,2017-04-28,3,0
"12","a98",1,"0101",2017-04-28 19:20:56,137203,110257,0.7,0.804,0.02,0.1,NA,NA,1373,585,NA,NA,0,2017-04-28 19:00:00,2017-04-28,3,0
"13","a98",1,"0101",2017-04-28 19:34:56,150102,113934,0.7,0.759,0.01,0.11,NA,NA,2785,1541,NA,NA,0,2017-04-28 19:00:00,2017-04-28,3,0
"14","a98",1,"0101",2017-04-28 19:48:56,143863,110075,0.7,0.765,0.01,0.12,NA,NA,2315,925,NA,NA,0,2017-04-28 19:00:00,2017-04-28,3,0
"15","a98",1,"0101",2017-04-28 20:02:56,146781,108475,0.7,0.739,0.01,0.13,NA,NA,2750,1545,NA,NA,0,2017-04-28 20:00:00,2017-04-28,4,0
"16","a98",1,"0101",2017-04-28 20:16:56,149405,109296,0.7,0.732,0.01,0.14,NA,NA,2451,1276,NA,NA,0,2017-04-28 20:00:00,2017-04-28,4,0
"17","a98",1,"0101",2017-04-28 20:30:56,144473,106625,0.7,0.738,0.07,0.21,NA,NA,1921,869,NA,NA,0,2017-04-28 20:00:00,2017-04-28,4,0
"18","a98",1,"0101",2017-04-28 20:44:56,148556,112175,0.7,0.755,0,0.21,NA,NA,2672,1371,NA,NA,0,2017-04-28 20:00:00,2017-04-28,4,0
"19","a98",1,"0101",2017-04-28 20:58:56,139536,101582,0.7,0.728,0.01,0.22,NA,NA,2685,1403,NA,NA,0,2017-04-28 20:00:00,2017-04-28,4,0
"20","a98",1,"0101",2017-04-28 21:12:56,136936,100254,0.6,0.732,0.07,0.29,NA,NA,1896,904,NA,NA,0,2017-04-28 21:00:00,2017-04-28,5,0
"21","a98",1,"0101",2017-04-28 21:26:56,135891,99651,0.6,0.733,0.01,0.3,NA,NA,1792,381,NA,NA,0,2017-04-28 21:00:00,2017-04-28,5,0
"22","a98",1,"0101",2017-04-28 21:40:56,143425,104520,0.7,0.729,0,0.3,NA,NA,1898,920,NA,NA,0,2017-04-28 21:00:00,2017-04-28,5,0
"23","a98",1,"0101",2017-04-28 21:54:56,139818,104064,0.7,0.744,0.02,0.32,NA,NA,1856,880,NA,NA,0,2017-04-28 21:00:00,2017-04-28,5,0
"24","a98",1,"0101",2017-04-28 22:08:56,145648,107707,0.7,0.74,0.04,0.36,NA,NA,2195,1088,NA,NA,0,2017-04-28 22:00:00,2017-04-28,6,0
"25","a98",1,"0101",2017-04-28 22:22:56,138988,105141,0.7,0.756,0,0.36,NA,NA,2292,1003,NA,NA,0,2017-04-28 22:00:00,2017-04-28,6,0
"26","a98",1,"0101",2017-04-28 22:36:56,142568,104114,0.7,0.73,0.01,0.37,NA,NA,2168,905,NA,NA,0,2017-04-28 22:00:00,2017-04-28,6,0
"27","a98",1,"0101",2017-04-28 22:50:56,148565,108991,0.7,0.734,0.02,0.39,NA,NA,2824,1565,NA,NA,0,2017-04-28 22:00:00,2017-04-28,6,0
"28","a98",1,"0101",2017-04-28 23:04:56,138214,100340,0.7,0.726,0,0.39,NA,NA,2514,1253,NA,NA,0,2017-04-28 23:00:00,2017-04-28,7,0
"29","a98",1,"0101",2017-04-28 23:18:56,129244,94984,0.6,0.735,0.03,0.42,NA,NA,1284,509,NA,NA,0,2017-04-28 23:00:00,2017-04-28,7,0
"30","a98",1,"0101",2017-04-28 23:32:56,146207,108396,0.7,0.741,0.01,0.43,NA,NA,2232,1051,NA,NA,0,2017-04-28 23:00:00,2017-04-28,7,0
"31","a98",1,"0101",2017-04-28 23:46:56,134712,97907,0.6,0.727,0.01,0.44,NA,NA,1399,382,NA,NA,0,2017-04-28 23:00:00,2017-04-28,7,0
"32","a98",1,"0101",2017-04-29 00:00:56,125072,91104,0.6,0.728,0.02,0.46,NA,NA,1075,352,NA,NA,0,2017-04-29 00:00:00,2017-04-29,8,1
"33","a98",1,"0101",2017-04-29 00:14:56,113728,81699,0.5,0.718,0.02,0.48,NA,NA,1171,473,NA,NA,0,2017-04-29 00:00:00,2017-04-29,8,1
"34","a98",1,"0101",2017-04-29 00:28:56,134084,103152,0.6,0.769,0.04,0.52,NA,NA,1255,385,NA,NA,0,2017-04-29 00:00:00,2017-04-29,8,1
"35","a98",1,"0101",2017-04-29 00:42:56,107500,79356,0.5,0.738,0.06,0.58,NA,NA,289,49,NA,NA,0,2017-04-29 00:00:00,2017-04-29,8,1
"36","a98",1,"0101",2017-04-29 00:56:56,122211,91555,0.6,0.749,0.05,0.63,NA,NA,418,142,NA,NA,0,2017-04-29 00:00:00,2017-04-29,8,1
"37","a98",1,"0101",2017-04-29 01:10:56,126383,98647,0.6,0.781,0.07,0.7,NA,NA,938,270,NA,NA,0,2017-04-29 01:00:00,2017-04-29,9,1
"38","a98",1,"0101",2017-04-29 01:24:56,140927,112639,0.7,0.799,0,0.7,NA,NA,1740,572,NA,NA,0,2017-04-29 01:00:00,2017-04-29,9,1
"39","a98",1,"0101",2017-04-29 01:38:56,120449,89101,0.6,0.74,0.05,0.75,NA,NA,768,280,NA,NA,0,2017-04-29 01:00:00,2017-04-29,9,1
"40","a98",1,"0101",2017-04-29 01:52:56,115048,87663,0.5,0.762,0,0.75,NA,NA,623,43,NA,NA,0,2017-04-29 01:00:00,2017-04-29,9,1
"41","a98",1,"0101",2017-04-29 02:06:56,120920,92009,0.6,0.761,0.01,0.76,NA,NA,899,175,NA,NA,0,2017-04-29 02:00:00,2017-04-29,10,1
"42","a98",1,"0101",2017-04-29 02:20:56,113773,86562,0.5,0.761,0.05,0.81,NA,NA,368,145,NA,NA,0,2017-04-29 02:00:00,2017-04-29,10,1
"43","a98",1,"0101",2017-04-29 02:34:56,111279,83730,0.5,0.752,0,0.81,NA,NA,632,195,NA,NA,0,2017-04-29 02:00:00,2017-04-29,10,1
"44","a98",1,"0101",2017-04-29 02:48:56,115427,85221,0.5,0.738,0,0.81,NA,NA,889,219,NA,NA,0,2017-04-29 02:00:00,2017-04-29,10,1
"45","a98",1,"0101",2017-04-29 03:02:56,143342,105464,0.7,0.736,0.02,0.83,NA,NA,1513,625,NA,NA,0,2017-04-29 03:00:00,2017-04-29,11,1
"46","a98",1,"0101",2017-04-29 03:16:56,149154,113016,0.7,0.758,0.02,0.85,NA,NA,2989,1609,NA,NA,0,2017-04-29 03:00:00,2017-04-29,11,1
"47","a98",1,"0101",2017-04-29 03:30:56,151625,111837,0.7,0.738,0,0.85,NA,NA,3121,1661,NA,NA,0,2017-04-29 03:00:00,2017-04-29,11,1
"48","a98",1,"0101",2017-04-29 03:44:56,147138,108406,0.7,0.737,0.03,0.88,NA,NA,2206,1062,NA,NA,0,2017-04-29 03:00:00,2017-04-29,11,1
"49","a98",1,"0101",2017-04-29 03:58:56,139003,104116,0.7,0.749,0.02,0.9,NA,NA,2542,1302,NA,NA,0,2017-04-29 03:00:00,2017-04-29,11,1
"50","a98",1,"0101",2017-04-29 04:12:56,156560,118026,0.7,0.754,0.02,0.92,NA,NA,2535,1416,NA,NA,0,2017-04-29 04:00:00,2017-04-29,12,1
"51","a98",1,"0101",2017-04-29 04:26:56,148192,109242,0.7,0.737,0,0.92,NA,NA,3334,1919,NA,NA,0,2017-04-29 04:00:00,2017-04-29,12,1
"52","a98",1,"0101",2017-04-29 04:40:56,141322,102369,0.7,0.724,-0.86,0.06,NA,NA,2240,1161,NA,NA,0,2017-04-29 04:00:00,2017-04-29,12,1
"53","a98",1,"0101",2017-04-29 04:54:56,144086,104119,0.7,0.723,0.87,0.93,NA,NA,2926,1536,NA,NA,0,2017-04-29 04:00:00,2017-04-29,12,1
"54","a98",1,"0101",2017-04-29 05:08:56,131958,96175,0.6,0.729,0.01,0.94,NA,NA,1440,308,NA,NA,0,2017-04-29 05:00:00,2017-04-29,13,1
"55","a98",1,"0101",2017-04-29 05:22:56,139454,103622,0.7,0.743,0.04,0.98,NA,NA,2319,1170,NA,NA,0,2017-04-29 05:00:00,2017-04-29,13,1
"56","a98",1,"0101",2017-04-29 05:36:56,130537,97223,0.6,0.745,0,0.98,NA,NA,1562,432,NA,NA,0,2017-04-29 05:00:00,2017-04-29,13,1
"57","a98",1,"0101",2017-04-29 05:50:56,106471,75499,0.5,0.709,0,0.98,NA,NA,406,72,NA,NA,0,2017-04-29 05:00:00,2017-04-29,13,1
"58","a98",1,"0101",2017-04-29 06:04:56,137165,99707,0.6,0.727,0,0.98,NA,NA,1422,722,NA,NA,0,2017-04-29 06:00:00,2017-04-29,14,1
"59","a98",1,"0101",2017-04-29 06:18:56,133244,97124,0.6,0.729,0,0.98,NA,NA,2859,1538,NA,NA,0,2017-04-29 06:00:00,2017-04-29,14,1
"60","a98",1,"0101",2017-04-29 06:32:56,134911,97356,0.6,0.722,0.01,0.99,NA,NA,2278,1038,NA,NA,0,2017-04-29 06:00:00,2017-04-29,14,1
"61","a98",1,"0101",2017-04-29 06:46:56,116704,84841,0.5,0.727,0.01,1,NA,NA,1815,626,NA,NA,0,2017-04-29 06:00:00,2017-04-29,14,1
"62","a98",1,"0101",2017-04-29 07:00:56,111666,78855,0.5,0.706,0,1,NA,NA,270,10,NA,NA,0,2017-04-29 07:00:00,2017-04-29,15,1
"63","a98",1,"0101",2017-04-29 07:14:56,94090,67511,0.4,0.718,0,1,NA,NA,149,39,NA,NA,0,2017-04-29 07:00:00,2017-04-29,15,1
"64","a98",1,"0101",2017-04-29 07:28:56,97122,68287,0.5,0.703,0,1,NA,NA,188,1,NA,NA,0,2017-04-29 07:00:00,2017-04-29,15,1
"65","a98",1,"0101",2017-04-29 07:42:56,108520,78978,0.5,0.728,0.02,1.02,NA,NA,312,149,NA,NA,0,2017-04-29 07:00:00,2017-04-29,15,1
"66","a98",1,"0101",2017-04-29 07:56:56,97821,72978,0.5,0.746,0.04,1.06,NA,NA,505,78,NA,NA,0,2017-04-29 07:00:00,2017-04-29,15,1
"67","a98",1,"0101",2017-04-29 08:10:56,115395,85924,0.5,0.745,0.02,1.08,NA,NA,244,133,NA,NA,0,2017-04-29 08:00:00,2017-04-29,16,1
"68","a98",1,"0101",2017-04-29 08:24:56,110433,82095,0.5,0.743,0,1.08,NA,NA,230,7,NA,NA,0,2017-04-29 08:00:00,2017-04-29,16,1
"69","a98",1,"0101",2017-04-29 08:38:56,102080,75394,0.5,0.739,0,1.08,NA,NA,360,5,NA,NA,0,2017-04-29 08:00:00,2017-04-29,16,1
"70","a98",1,"0101",2017-04-29 08:52:56,101008,74278,0.5,0.735,0,1.08,NA,NA,101,5,NA,NA,0,2017-04-29 08:00:00,2017-04-29,16,1
"71","a98",1,"0101",2017-04-29 09:06:56,97321,75196,0.5,0.773,0.08,1.16,NA,NA,564,194,NA,NA,0,2017-04-29 09:00:00,2017-04-29,17,1
"72","a98",1,"0101",2017-04-29 09:20:56,110869,84885,0.5,0.766,0,1.16,NA,NA,200,9,NA,NA,0,2017-04-29 09:00:00,2017-04-29,17,1
"73","a98",1,"0101",2017-04-29 09:34:56,101813,76236,0.5,0.749,0,1.16,NA,NA,9,3,NA,NA,0,2017-04-29 09:00:00,2017-04-29,17,1
