"","group1","group2","group3","group4","group_names","colors","xrange","outliers","errorbars","mri","exc","Total.Mass","Lean.Mass","Fat.Mass"
"1","a90","b06","c19","d02","A","#999999","14","Yes","No","Yes","162","37.6","22.04","15.56"
"2","a92","b10","c20","d03","B","#E69F00","62",NA,NA,NA,"162","39.85","22.09","17.76"
"3","a93","b27","c31","d13","C","#56B4E9",NA,NA,NA,NA,"162","38.07","22.29","15.78"
"4","a94","b28","c37","d15","D","#009E73",NA,NA,NA,NA,"162","42.08","23.1","18.98"
"5","a96","b29","c41","d25",NA,NA,NA,NA,NA,NA,"162","35.62","20.32","15.3"
"6","a98","b30","b37",NA,NA,NA,NA,NA,NA,NA,"162","40.36","22.35","18.01"
"7","d01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","35.01","23.38","11.63"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","42.59","23.18","19.41"
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","29.97","20.43","9.54"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","41.95","22.86","19.09"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","35.95","20.78","15.17"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","43.3","24","19.3"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","31.93","18.82","13.11"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","41.48","24.1","17.38"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","36.34","20.86","15.48"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","44.55","24.83","19.72"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","35","20.79","14.21"
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","39.7","22.76","16.94"
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","34.17","19.38","14.79"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","36.58","21.87","14.71"
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","36.31","20.23","16.08"
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","39.21","23.77","15.44"
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","35.35","19.73","15.62"
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","42.81","23.27","19.54"
