,Total.Mass,Lean.Mass,Fat.Mass
a98,37.6,22.04,15.56
b06,39.85,22.09,17.76
c31,38.07,22.29,15.78
d25,42.08,23.1,18.98
a90,35.62,20.32,15.3
b27,40.36,22.35,18.01
c37,35.01,23.38,11.63
d13,42.59,23.18,19.41
a96,29.97,20.43,9.54
b10,41.95,22.86,19.09
b37,35.95,20.78,15.17
d15,43.3,24,19.3
a94,31.93,18.82,13.11
b30,41.48,24.1,17.38
c41,36.34,20.86,15.48
d02,44.55,24.83,19.72
a93,35,20.79,14.21
b29,39.7,22.76,16.94
c19,34.17,19.38,14.79
d03,36.58,21.87,14.71
a92,36.31,20.23,16.08
b28,39.21,23.77,15.44
c20,35.35,19.73,15.62
d01,42.81,23.27,19.54
