"","subject.id","subject.mass","cage","Date.Time","vo2","vco2","ee","rer","feed","feed.acc","drink","drink.acc","xytot","xyamb","pedmeter","allmeter","body.temp","hour","day","exp.hour","exp.day"
"1","5679ko",1,"0112",2017-05-12 15:55:42,75.152,65.276,0.4,0.869,0,0,NA,NA,10891,6779,NA,NA,37.7,2017-05-12 15:00:00,2017-05-12,3,0
"2","5679ko",1,"0112",2017-05-12 16:23:42,66.897,58.296,0.3,0.871,0.01,0.01,NA,NA,7968,4812,NA,NA,37.3,2017-05-12 16:00:00,2017-05-12,4,0
"3","5679ko",1,"0112",2017-05-12 16:51:42,61.833,52.047,0.3,0.842,0.02,0.03,NA,NA,5166,2503,NA,NA,36.8,2017-05-12 16:00:00,2017-05-12,4,0
"4","5679ko",1,"0112",2017-05-12 17:19:42,59.133,53.132,0.3,0.899,0.03,0.06,NA,NA,5539,2438,NA,NA,36.7,2017-05-12 17:00:00,2017-05-12,5,0
"5","5679ko",1,"0112",2017-05-12 17:47:42,47.747,43.327,0.2,0.907,0,0.06,NA,NA,2253,776,NA,NA,36.1,2017-05-12 17:00:00,2017-05-12,5,0
"6","5679ko",1,"0112",2017-05-12 18:15:42,50.472,42.761,0.2,0.847,0.07,0.13,NA,NA,4448,2149,NA,NA,36.1,2017-05-12 18:00:00,2017-05-12,6,0
"7","5679ko",1,"0112",2017-05-12 18:43:42,62.734,58.358,0.3,0.93,0.04,0.17,NA,NA,6779,3628,NA,NA,36.4,2017-05-12 18:00:00,2017-05-12,6,0
"8","5679ko",1,"0112",2017-05-12 19:11:42,63.958,57.394,0.3,0.897,0.06,0.23,NA,NA,7277,4378,NA,NA,36.9,2017-05-12 19:00:00,2017-05-12,7,0
"9","5679ko",1,"0112",2017-05-12 19:39:42,63.67,58.578,0.3,0.92,0.09,0.32,NA,NA,5612,3138,NA,NA,37,2017-05-12 19:00:00,2017-05-12,7,0
"10","5679ko",1,"0112",2017-05-12 20:07:42,44.836,40.874,0.2,0.912,0.05,0.37,NA,NA,1436,591,NA,NA,36.5,2017-05-12 20:00:00,2017-05-12,8,0
"11","5679ko",1,"0112",2017-05-12 20:35:42,43.256,43.146,0.2,0.997,0.04,0.41,NA,NA,775,147,NA,NA,35.9,2017-05-12 20:00:00,2017-05-12,8,0
