,Total.Mass,Lean.Mass,Fat.Mass
5680wt,27.3,22.96,3.85
5671h,29.8,23.63,4.95
5687ko,26.4,20.78,4.26
5685wt,28.5,23.11,4.38
5670h,27.2,22.08,4.3
5678ko,25.6,21.34,3.5
5684wt,29.1,23.4,4.85
5686h,26.4,21.49,3.45
5681ko,27.9,23.22,3.93
5674wt,22.7,18.57,3.69
5636h,30.3,23.43,5.97
5672ko,21,17.16,2.16
5605wt,26.3,21.4,3.91
5619h,28.5,23.18,3.7
5628ko,22.3,18.83,2.38
5618wt,27.7,22.37,4.03
5608h,26.2,20.67,5.18
5606ko,21.1,17.53,2.38
5621wt,27.4,22.59,3.93
5607h,29.2,23.98,4.33
5613ko,24.5,19.74,3.42
5633wt,27.8,22.95,3.63
5629h,27.4,21.53,4.71
5679ko,25.6,20.14,3.94
