"","subject.id","subject.mass","cage","Date.Time","vo2","vco2","ee","rer","feed","feed.acc","drink","drink.acc","xytot","xyamb","pedmeter","allmeter","body.temp","hour","day","exp.hour","exp.day"
"1","BL-1",1,"0101",2017-04-18 15:48:10,127.486,106.26,0.6,0.834,0,0,NA,NA,1384,732,NA,NA,37.8,2017-04-18 15:00:00,2017-04-18,5,0
"2","BL-1",1,"0101",2017-04-18 16:16:10,99.745,87.196,0.5,0.874,0.06,0.06,NA,NA,12143,7318,NA,NA,38,2017-04-18 16:00:00,2017-04-18,6,0
"3","BL-1",1,"0101",2017-04-18 16:44:10,88.761,75.497,0.4,0.851,0.04,0.1,NA,NA,10556,6530,NA,NA,37.9,2017-04-18 16:00:00,2017-04-18,6,0
"4","BL-1",1,"0101",2017-04-18 17:12:10,93.254,79.46,0.5,0.852,0.1,0.2,NA,NA,8051,4370,NA,NA,37.8,2017-04-18 17:00:00,2017-04-18,7,0
"5","BL-1",1,"0101",2017-04-18 17:40:10,87.28,73.849,0.4,0.846,0.06,0.26,NA,NA,5571,2508,NA,NA,37.5,2017-04-18 17:00:00,2017-04-18,7,0
"6","BL-1",1,"0101",2017-04-18 18:08:10,83.313,73.411,0.4,0.881,0.06,0.32,NA,NA,6442,3102,NA,NA,37.2,2017-04-18 18:00:00,2017-04-18,8,0
"7","BL-1",1,"0101",2017-04-18 18:36:10,92.076,80.7,0.5,0.876,0.08,0.4,NA,NA,7738,4355,NA,NA,37.2,2017-04-18 18:00:00,2017-04-18,8,0
"8","BL-1",1,"0101",2017-04-18 19:04:10,89.255,75.878,0.4,0.85,0.06,0.46,NA,NA,8718,5125,NA,NA,37.1,2017-04-18 19:00:00,2017-04-18,9,0
"9","BL-1",1,"0101",2017-04-18 19:32:10,98.836,90.601,0.5,0.917,0.13,0.59,NA,NA,10301,6292,NA,NA,37.3,2017-04-18 19:00:00,2017-04-18,9,0
"10","BL-1",1,"0101",2017-04-18 20:00:10,82.516,72.4,0.4,0.877,0.05,0.64,NA,NA,5249,2453,NA,NA,37.2,2017-04-18 20:00:00,2017-04-18,10,0
"11","BL-1",1,"0101",2017-04-18 20:28:10,57.013,49.186,0.3,0.863,0.06,0.7,NA,NA,2351,702,NA,NA,36.9,2017-04-18 20:00:00,2017-04-18,10,0
"12","BL-1",1,"0101",2017-04-18 20:56:10,65.112,56.435,0.3,0.867,0.06,0.76,NA,NA,2340,746,NA,NA,36.7,2017-04-18 20:00:00,2017-04-18,10,0
"13","BL-1",1,"0101",2017-04-18 21:24:10,101.014,90.118,0.5,0.892,0.1,0.86,NA,NA,10110,6067,NA,NA,37.4,2017-04-18 21:00:00,2017-04-18,11,0
"14","BL-1",1,"0101",2017-04-18 21:52:10,98.815,85.374,0.5,0.864,0.15,1.01,NA,NA,8600,4878,NA,NA,37.6,2017-04-18 21:00:00,2017-04-18,11,0
"15","BL-1",1,"0101",2017-04-18 22:20:10,103.682,90.427,0.5,0.872,0.08,1.09,NA,NA,13070,8603,NA,NA,37.8,2017-04-18 22:00:00,2017-04-18,12,0
"16","BL-1",1,"0101",2017-04-18 22:48:10,105.523,92.755,0.5,0.879,0.19,1.28,NA,NA,7493,3966,NA,NA,37.6,2017-04-18 22:00:00,2017-04-18,12,0
"17","BL-1",1,"0101",2017-04-18 23:16:10,96.624,83.976,0.5,0.869,0.03,1.31,NA,NA,11229,7204,NA,NA,37.7,2017-04-18 23:00:00,2017-04-18,13,0
"18","BL-1",1,"0101",2017-04-18 23:44:10,99.095,86.005,0.5,0.868,0.16,1.47,NA,NA,7431,4202,NA,NA,37.6,2017-04-18 23:00:00,2017-04-18,13,0
"19","BL-1",1,"0101",2017-04-19 00:12:10,72.299,61.659,0.4,0.853,0.07,1.54,NA,NA,4861,2615,NA,NA,37.3,2017-04-19 00:00:00,2017-04-19,14,1
"20","BL-1",1,"0101",2017-04-19 00:40:10,52.269,44.666,0.3,0.855,0.02,1.56,NA,NA,905,152,NA,NA,36.8,2017-04-19 00:00:00,2017-04-19,14,1
"21","BL-1",1,"0101",2017-04-19 01:08:10,95.78,81.005,0.5,0.846,0.16,1.72,NA,NA,4365,2090,NA,NA,36.7,2017-04-19 01:00:00,2017-04-19,15,1
"22","BL-1",1,"0101",2017-04-19 01:36:10,97.915,89.752,0.5,0.917,0.26,1.98,NA,NA,5659,2957,NA,NA,37.7,2017-04-19 01:00:00,2017-04-19,15,1
"23","BL-1",1,"0101",2017-04-19 02:04:10,65.981,59.411,0.3,0.9,0.11,2.09,NA,NA,5428,2561,NA,NA,37.4,2017-04-19 02:00:00,2017-04-19,16,1
"24","BL-1",1,"0101",2017-04-19 02:32:10,95.487,89.717,0.5,0.94,0.16,2.25,NA,NA,5946,1870,NA,NA,37.1,2017-04-19 02:00:00,2017-04-19,16,1
"25","BL-1",1,"0101",2017-04-19 03:00:10,72.177,66.542,0.4,0.922,0.17,2.42,NA,NA,5247,2650,NA,NA,37.4,2017-04-19 03:00:00,2017-04-19,17,1
"26","BL-1",1,"0101",2017-04-19 03:28:10,62.111,57.801,0.3,0.931,0.03,2.45,NA,NA,2133,906,NA,NA,37,2017-04-19 03:00:00,2017-04-19,17,1
"27","BL-1",1,"0101",2017-04-19 03:56:10,51.541,46.186,0.3,0.896,0.03,2.48,NA,NA,419,66,NA,NA,36.8,2017-04-19 03:00:00,2017-04-19,17,1
"28","BL-1",1,"0101",2017-04-19 04:24:10,85.261,78.569,0.4,0.922,0.13,2.61,NA,NA,2722,1159,NA,NA,36.9,2017-04-19 04:00:00,2017-04-19,18,1
"29","BL-1",1,"0101",2017-04-19 04:52:10,62.13,55.344,0.3,0.891,0.02,2.63,NA,NA,7671,2384,NA,NA,37.2,2017-04-19 04:00:00,2017-04-19,18,1
"30","BL-1",1,"0101",2017-04-19 05:20:10,46.731,41.693,0.2,0.892,0.02,2.65,NA,NA,342,55,NA,NA,36.4,2017-04-19 05:00:00,2017-04-19,19,1
"31","BL-1",1,"0101",2017-04-19 05:48:10,46.746,41.891,0.2,0.896,0.03,2.68,NA,NA,752,59,NA,NA,36.3,2017-04-19 05:00:00,2017-04-19,19,1
"32","BL-1",1,"0101",2017-04-19 06:16:10,77.502,69.287,0.4,0.894,0.19,2.87,NA,NA,3762,1537,NA,NA,36.7,2017-04-19 06:00:00,2017-04-19,20,1
"33","BL-1",1,"0101",2017-04-19 06:44:10,44.672,40.762,0.2,0.912,0.01,2.88,NA,NA,834,63,NA,NA,36.4,2017-04-19 06:00:00,2017-04-19,20,1
"34","BL-1",1,"0101",2017-04-19 07:12:10,41.823,37.548,0.2,0.898,0.02,2.9,NA,NA,352,21,NA,NA,36,2017-04-19 07:00:00,2017-04-19,21,1
"35","BL-1",1,"0101",2017-04-19 07:40:10,39.969,34.395,0.2,0.861,0.02,2.92,NA,NA,2101,126,NA,NA,35.8,2017-04-19 07:00:00,2017-04-19,21,1
"36","BL-1",1,"0101",2017-04-19 08:08:10,43.703,37.654,0.2,0.862,0.03,2.95,NA,NA,3211,497,NA,NA,35.9,2017-04-19 08:00:00,2017-04-19,22,1
"37","BL-1",1,"0101",2017-04-19 08:36:10,38.455,33.652,0.2,0.875,0.02,2.97,NA,NA,626,58,NA,NA,35.9,2017-04-19 08:00:00,2017-04-19,22,1
"38","BL-1",1,"0101",2017-04-19 09:04:10,51.65,45.542,0.3,0.882,0.04,3.01,NA,NA,2830,433,NA,NA,35.7,2017-04-19 09:00:00,2017-04-19,23,1
