"","subject.id","subject.mass","cage","Date.Time","vo2","vco2","ee","rer","feed","feed.acc","drink","drink.acc","xytot","xyamb","pedmeter","allmeter","body.temp","hour","day","exp.hour","exp.day"
"1","1-N",1,"0101",2016-09-07 16:05:29,94.9355,70.1756,0.4,0.739,0,0,NA,NA,1506,772,NA,NA,0,2016-09-07 16:00:00,2016-09-07,0,0
"2","1-N",1,"0101",2016-09-07 16:33:29,97.4611,76.5798,0.5,0.786,0.07,0.07,NA,NA,1506,772,NA,NA,0,2016-09-07 16:00:00,2016-09-07,0,0
"3","1-N",1,"0101",2016-09-07 17:01:29,71.8443,55.1573,0.3,0.768,0.05,0.12,NA,NA,1506,772,NA,NA,0,2016-09-07 17:00:00,2016-09-07,1,0
"4","1-N",1,"0101",2016-09-07 17:29:29,53.4435,40.4547,0.3,0.757,-0.01,0.11,NA,NA,1506,772,NA,NA,0,2016-09-07 17:00:00,2016-09-07,1,0
"5","1-N",1,"0101",2016-09-07 17:57:29,57.277,44.4235,0.3,0.776,-0.01,0.1,NA,NA,1506,772,NA,NA,0,2016-09-07 17:00:00,2016-09-07,1,0
"6","1-N",1,"0101",2016-09-07 18:25:29,98.5435,75.9484,0.5,0.77,0.06,0.16,NA,NA,1506,772,NA,NA,0,2016-09-07 18:00:00,2016-09-07,2,0
"7","1-N",1,"0101",2016-09-07 18:53:29,89.3882,67.5598,0.4,0.756,-0.01,0.15,NA,NA,1506,772,NA,NA,0,2016-09-07 18:00:00,2016-09-07,2,0
"8","1-N",1,"0101",2016-09-07 19:21:29,89.4333,69.4991,0.4,0.777,-0.01,0.14,NA,NA,1506,772,NA,NA,0,2016-09-07 19:00:00,2016-09-07,3,0
"9","1-N",1,"0101",2016-09-07 19:49:29,69.2285,51.1434,0.3,0.739,0,0.14,NA,NA,1506,772,NA,NA,0,2016-09-07 19:00:00,2016-09-07,3,0
"10","1-N",1,"0101",2016-09-07 20:17:29,96.6493,72.6561,0.5,0.752,0.01,0.15,NA,NA,1506,772,NA,NA,0,2016-09-07 20:00:00,2016-09-07,4,0
"11","1-N",1,"0101",2016-09-07 20:45:29,96.9199,74.3699,0.5,0.767,0,0.15,NA,NA,1506,772,NA,NA,0,2016-09-07 20:00:00,2016-09-07,4,0
"12","1-N",1,"0101",2016-09-07 21:13:29,91.0569,67.8304,0.4,0.745,0,0.15,NA,NA,1506,772,NA,NA,0,2016-09-07 21:00:00,2016-09-07,5,0
"13","1-N",1,"0101",2016-09-07 21:41:29,86.5018,63.8165,0.4,0.737,0,0.15,NA,NA,1506,772,NA,NA,0,2016-09-07 21:00:00,2016-09-07,5,0
"14","1-N",1,"0101",2016-09-07 22:09:29,88.2607,65.4852,0.4,0.742,0.02,0.17,NA,NA,1506,772,NA,NA,0,2016-09-07 22:00:00,2016-09-07,6,0
