Oxymax CSV File 

CSV Generation Date,7/11/2017 3:31:58 PM 
Experiment Started,8/22/2014 3:07:31 PM
Data Filename,\\Cifs2\bankslab$\CLAMS\METABOLIC BWH\Katie's Computer\CLAMS\CLAMS runs\Victor Navarro\2014-08-22 Experiment 1 (second half).CDTA

Group/Cage,0101
O2 Calibration Date,
CO2 Calibration Date,
Subject ID,WT1
Subject Mass (G), 27.1 
wt 352,

Reference Settle Time (s), 85 
Reference Measure Time (s), 5 
Cage Settle Time (s), 85 
Cage Measure Time (s), 5 
Reference Method,EVRYNN=6
Heat Calculation Method,STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,BODY TEMP,RH SAMP,RH REF,RH PURGE,RH AMB,TEMP AMB,
#,,,ml/kg/hr,%,%,%,l,ml/kg/hr,%,%,%,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,degC,%,%,%,%,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0101,8/22/2014 3:10:45 PM ,4456,20.92,20.53,0.39,0.0,3365,0.055,0.362,0.308,0.0,0.755,0.6,0.49,STABLE,0.00,0.00,5,5,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
2,0101,8/22/2014 3:21:15 PM ,3950,20.91,20.57,0.34,0.0,2969,0.055,0.327,0.272,0.0,0.752,0.5,0.49,STABLE,0.00,0.00,0,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
3,0101,8/22/2014 3:31:45 PM ,3955,20.91,20.57,0.34,0.0,2974,0.056,0.328,0.272,0.0,0.752,0.5,0.49,STABLE,0.00,0.00,49,48,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
4,0101,8/22/2014 3:42:15 PM ,3540,20.92,20.61,0.31,0.1,2668,0.056,0.300,0.244,0.0,0.754,0.5,0.49,STABLE,0.00,0.00,43,41,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
5,0101,8/22/2014 3:52:45 PM ,3778,20.91,20.59,0.33,0.1,2792,0.056,0.312,0.255,0.1,0.739,0.5,0.49,STABLE,0.00,0.00,0,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
6,0101,8/22/2014 4:03:15 PM ,3840,20.91,20.58,0.33,0.1,2955,0.056,0.327,0.270,0.1,0.770,0.5,0.49,STABLE,0.02,0.02,41,37,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
7,0101,8/22/2014 4:13:45 PM ,3630,20.91,20.60,0.32,0.1,2746,0.057,0.308,0.252,0.1,0.756,0.5,0.49,STABLE,-0.01,0.01,5,5,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
8,0101,8/22/2014 4:24:15 PM ,3471,20.91,20.61,0.30,0.1,2608,0.057,0.296,0.239,0.1,0.751,0.4,0.49,STABLE,0.00,0.01,0,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
9,0101,8/22/2014 4:34:45 PM ,3610,20.91,20.59,0.31,0.1,2729,0.057,0.307,0.250,0.1,0.756,0.5,0.49,STABLE,0.08,0.09,5,4,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
10,0101,8/22/2014 4:45:15 PM ,3231,20.91,20.62,0.29,0.2,2635,0.056,0.299,0.242,0.1,0.816,0.4,0.49,STABLE,0.00,0.09,0,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
11,0101,8/22/2014 4:55:45 PM ,3438,20.91,20.61,0.30,0.2,2746,0.057,0.308,0.252,0.1,0.799,0.4,0.49,STABLE,0.00,0.09,61,56,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
12,0101,8/22/2014 5:06:15 PM ,3366,20.91,20.61,0.30,0.2,2652,0.057,0.300,0.243,0.1,0.788,0.4,0.49,STABLE,0.00,0.09,0,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
13,0101,8/22/2014 5:16:45 PM ,3800,20.91,20.57,0.34,0.2,3153,0.057,0.346,0.289,0.2,0.830,0.5,0.49,DYNAMIC,0.02,0.11,99,95,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
14,0101,8/22/2014 5:27:15 PM ,4166,20.91,20.53,0.37,0.2,3662,0.057,0.393,0.336,0.2,0.879,0.6,0.49,STABLE,0.03,0.14,1234,1169,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
15,0101,8/22/2014 5:37:45 PM ,3674,20.90,20.58,0.32,0.2,2926,0.057,0.325,0.268,0.2,0.796,0.5,0.49,STABLE,0.00,0.14,38,37,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
16,0101,8/22/2014 5:48:15 PM ,3253,20.90,20.62,0.28,0.3,2517,0.057,0.288,0.231,0.2,0.774,0.4,0.49,STABLE,0.00,0.14,15,14,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
17,0101,8/22/2014 5:58:45 PM ,3170,20.90,20.62,0.28,0.3,2612,0.057,0.297,0.240,0.2,0.824,0.4,0.49,STABLE,0.11,0.25,15,14,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
18,0101,8/22/2014 6:09:15 PM ,3255,20.90,20.61,0.29,0.3,2810,0.057,0.315,0.258,0.2,0.863,0.4,0.49,STABLE,0.00,0.25,103,99,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
19,0101,8/22/2014 6:19:45 PM ,3348,20.90,20.61,0.30,0.3,2858,0.057,0.319,0.262,0.2,0.854,0.4,0.49,STABLE,0.00,0.25,396,376,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
20,0101,8/22/2014 6:30:15 PM ,3720,20.90,20.57,0.33,0.3,3222,0.057,0.353,0.296,0.3,0.866,0.5,0.49,STABLE,0.01,0.26,387,371,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
21,0101,8/22/2014 6:40:45 PM ,3744,20.90,20.57,0.33,0.3,3060,0.057,0.338,0.281,0.3,0.817,0.5,0.49,STABLE,0.00,0.26,120,115,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
22,0101,8/22/2014 6:51:15 PM ,3802,20.91,20.59,0.33,0.4,2769,0.057,0.312,0.254,0.3,0.728,0.5,0.49,DYNAMIC,0.01,0.27,56,54,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
23,0101,8/22/2014 7:01:45 PM ,3573,20.90,20.58,0.32,0.4,3002,0.057,0.333,0.275,0.3,0.840,0.5,0.49,STABLE,0.13,0.40,33,32,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
24,0101,8/22/2014 7:12:15 PM ,4254,20.90,20.52,0.38,0.4,3791,0.058,0.405,0.348,0.3,0.891,0.6,0.49,STABLE,0.12,0.52,72,72,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
25,0101,8/22/2014 7:22:45 PM ,3472,20.90,20.59,0.31,0.4,3029,0.058,0.336,0.278,0.3,0.872,0.5,0.49,STABLE,0.00,0.52,125,115,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
26,0101,8/22/2014 7:33:15 PM ,4105,20.90,20.53,0.37,0.4,3730,0.058,0.401,0.342,0.3,0.909,0.5,0.49,STABLE,0.08,0.60,401,391,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
27,0101,8/22/2014 7:43:45 PM ,3584,20.90,20.58,0.32,0.5,3098,0.059,0.343,0.284,0.4,0.864,0.5,0.49,STABLE,0.01,0.61,0,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
