Oxymax CSV File 

CSV Generation Date,7/11/2017 3:32:00 PM 
Experiment Started,8/22/2014 3:07:31 PM
Data Filename,\\Cifs2\bankslab$\CLAMS\METABOLIC BWH\Katie's Computer\CLAMS\CLAMS runs\Victor Navarro\2014-08-22 Experiment 1 (second half).CDTA

Group/Cage,0102
O2 Calibration Date,
CO2 Calibration Date,
Subject ID,KO1
Subject Mass (G), 27.1 
ko 349,

Reference Settle Time (s), 85 
Reference Measure Time (s), 5 
Cage Settle Time (s), 85 
Cage Measure Time (s), 5 
Reference Method,EVRYNN=6
Heat Calculation Method,STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,BODY TEMP,RH SAMP,RH REF,RH PURGE,RH AMB,TEMP AMB,
#,,,ml/kg/hr,%,%,%,l,ml/kg/hr,%,%,%,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,degC,%,%,%,%,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0102,8/22/2014 3:12:15 PM ,4379,20.92,20.54,0.38,0.0,3472,0.055,0.368,0.313,0.0,0.793,0.6,0.50,STABLE,0.08,0.08,16,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
2,0102,8/22/2014 3:22:45 PM ,3919,20.91,20.57,0.34,0.0,3310,0.055,0.354,0.299,0.0,0.845,0.5,0.50,STABLE,-0.01,0.07,115,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
3,0102,8/22/2014 3:33:15 PM ,3679,20.91,20.60,0.32,0.0,2837,0.056,0.312,0.256,0.0,0.771,0.5,0.50,STABLE,-0.01,0.06,27,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
4,0102,8/22/2014 3:43:45 PM ,3217,20.92,20.64,0.27,0.1,2412,0.056,0.274,0.217,0.0,0.750,0.4,0.50,STABLE,-0.01,0.05,8,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
5,0102,8/22/2014 3:54:15 PM ,3622,20.91,20.61,0.31,0.1,2686,0.056,0.299,0.242,0.1,0.742,0.5,0.50,DYNAMIC,0.06,0.11,11,2,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
6,0102,8/22/2014 4:04:45 PM ,3452,20.91,20.61,0.30,0.1,2927,0.056,0.321,0.264,0.1,0.848,0.5,0.50,STABLE,0.13,0.24,53,3,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
7,0102,8/22/2014 4:15:15 PM ,3247,20.91,20.63,0.28,0.1,2681,0.057,0.299,0.243,0.1,0.826,0.4,0.50,STABLE,-0.01,0.23,4,1,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
8,0102,8/22/2014 4:25:45 PM ,3450,20.91,20.61,0.30,0.1,2883,0.057,0.317,0.261,0.1,0.836,0.5,0.50,STABLE,0.15,0.38,60,4,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
9,0102,8/22/2014 4:36:15 PM ,3276,20.91,20.62,0.29,0.1,2827,0.057,0.312,0.256,0.1,0.863,0.4,0.50,STABLE,-0.01,0.37,27,5,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
10,0102,8/22/2014 4:46:45 PM ,2893,20.91,20.65,0.25,0.1,2540,0.056,0.286,0.230,0.1,0.878,0.4,0.50,STABLE,0.00,0.37,30,1,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
11,0102,8/22/2014 4:57:15 PM ,3272,20.91,20.62,0.29,0.2,2825,0.057,0.312,0.256,0.1,0.863,0.4,0.50,STABLE,0.00,0.37,56,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
12,0102,8/22/2014 5:07:45 PM ,2683,20.91,20.67,0.24,0.2,2304,0.057,0.265,0.208,0.1,0.859,0.4,0.50,STABLE,-0.01,0.36,50,6,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
13,0102,8/22/2014 5:18:15 PM ,2964,20.91,20.65,0.26,0.2,2474,0.057,0.281,0.224,0.2,0.834,0.4,0.50,STABLE,0.00,0.36,47,2,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
14,0102,8/22/2014 5:28:45 PM ,2981,20.91,20.65,0.26,0.2,2565,0.057,0.289,0.232,0.2,0.861,0.4,0.50,STABLE,0.13,0.49,123,17,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
15,0102,8/22/2014 5:39:15 PM ,3207,20.90,20.62,0.28,0.2,2772,0.057,0.308,0.251,0.2,0.864,0.4,0.50,STABLE,-0.01,0.48,40,7,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
16,0102,8/22/2014 5:49:45 PM ,2636,20.90,20.67,0.23,0.2,2333,0.057,0.268,0.211,0.2,0.885,0.4,0.50,STABLE,0.00,0.48,19,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
17,0102,8/22/2014 6:00:15 PM ,2607,20.90,20.67,0.23,0.2,2375,0.057,0.272,0.215,0.2,0.911,0.3,0.50,STABLE,0.00,0.48,70,22,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
18,0102,8/22/2014 6:10:45 PM ,2957,20.90,20.64,0.26,0.3,2535,0.057,0.286,0.229,0.2,0.857,0.4,0.50,STABLE,0.00,0.48,20,6,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
19,0102,8/22/2014 6:21:15 PM ,3554,20.90,20.59,0.31,0.3,3136,0.057,0.341,0.284,0.2,0.883,0.5,0.50,STABLE,0.16,0.64,237,28,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
20,0102,8/22/2014 6:31:45 PM ,3750,20.90,20.57,0.33,0.3,3342,0.057,0.360,0.303,0.2,0.891,0.5,0.50,STABLE,0.00,0.64,409,82,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
21,0102,8/22/2014 6:42:15 PM ,3056,20.90,20.63,0.27,0.3,2659,0.057,0.298,0.241,0.3,0.870,0.4,0.50,STABLE,0.00,0.64,91,13,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
22,0102,8/22/2014 6:52:45 PM ,3506,20.91,20.61,0.30,0.3,2791,0.057,0.310,0.253,0.3,0.796,0.5,0.50,STABLE,0.00,0.64,8,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
23,0102,8/22/2014 7:03:15 PM ,3531,20.90,20.59,0.31,0.3,2956,0.057,0.325,0.268,0.3,0.837,0.5,0.50,STABLE,0.00,0.64,9,3,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
24,0102,8/22/2014 7:13:45 PM ,3706,20.90,20.57,0.33,0.4,3331,0.058,0.359,0.302,0.3,0.899,0.5,0.50,STABLE,0.00,0.64,146,52,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
25,0102,8/22/2014 7:24:15 PM ,4062,20.90,20.54,0.36,0.4,3578,0.058,0.382,0.324,0.3,0.881,0.5,0.50,STABLE,0.04,0.68,114,39,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
26,0102,8/22/2014 7:34:45 PM ,3515,20.90,20.59,0.31,0.4,2985,0.058,0.328,0.270,0.3,0.849,0.5,0.50,STABLE,0.00,0.68,78,19,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
27,0102,8/22/2014 7:45:15 PM ,4002,20.90,20.55,0.35,0.4,3398,0.059,0.366,0.308,0.3,0.849,0.5,0.50,STABLE,0.11,0.79,36,18,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
