Oxymax CSV File 

CSV Generation Date,7/11/2017 3:32:03 PM 
Experiment Started,8/22/2014 3:07:31 PM
Data Filename,\\Cifs2\bankslab$\CLAMS\METABOLIC BWH\Katie's Computer\CLAMS\CLAMS runs\Victor Navarro\2014-08-22 Experiment 1 (second half).CDTA

Group/Cage,0103
O2 Calibration Date,
CO2 Calibration Date,
Subject ID,WT2
Subject Mass (G), 27.4 
wt353,

Reference Settle Time (s), 85 
Reference Measure Time (s), 5 
Cage Settle Time (s), 85 
Cage Measure Time (s), 5 
Reference Method,EVRYNN=6
Heat Calculation Method,STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,BODY TEMP,RH SAMP,RH REF,RH PURGE,RH AMB,TEMP AMB,
#,,,ml/kg/hr,%,%,%,l,ml/kg/hr,%,%,%,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,degC,%,%,%,%,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0103,8/22/2014 3:13:45 PM ,4556,20.92,20.51,0.41,0.0,3815,0.055,0.406,0.351,0.0,0.837,0.6,0.50,STABLE,0.00,0.00,544,267,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
2,0103,8/22/2014 3:24:15 PM ,4385,20.91,20.52,0.39,0.0,3694,0.055,0.396,0.340,0.0,0.843,0.6,0.50,STABLE,0.00,0.00,622,98,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
3,0103,8/22/2014 3:34:45 PM ,4088,20.91,20.56,0.36,0.0,3165,0.056,0.347,0.291,0.0,0.774,0.5,0.50,STABLE,0.00,0.00,234,19,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
4,0103,8/22/2014 3:45:15 PM ,3618,20.92,20.60,0.32,0.1,2735,0.056,0.308,0.252,0.0,0.756,0.5,0.50,STABLE,0.00,0.00,14,1,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
5,0103,8/22/2014 3:55:45 PM ,3554,20.91,20.60,0.31,0.1,2651,0.056,0.300,0.244,0.1,0.746,0.5,0.50,STABLE,0.00,0.00,374,9,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
6,0103,8/22/2014 4:06:15 PM ,3450,20.91,20.61,0.31,0.1,2801,0.056,0.315,0.259,0.1,0.812,0.5,0.49,STABLE,0.21,0.21,193,38,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
7,0103,8/22/2014 4:16:45 PM ,3419,20.91,20.61,0.31,0.1,2880,0.057,0.322,0.266,0.1,0.842,0.5,0.49,STABLE,0.00,0.21,58,12,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
8,0103,8/22/2014 4:27:15 PM ,3418,20.91,20.60,0.31,0.1,2938,0.057,0.328,0.272,0.1,0.860,0.5,0.49,STABLE,0.03,0.24,42,10,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
9,0103,8/22/2014 4:37:45 PM ,3337,20.91,20.61,0.30,0.1,2890,0.057,0.323,0.267,0.1,0.866,0.4,0.49,STABLE,0.05,0.29,59,20,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
10,0103,8/22/2014 4:48:15 PM ,4184,20.91,20.53,0.38,0.2,3794,0.056,0.407,0.350,0.1,0.907,0.6,0.49,STABLE,0.03,0.32,904,412,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
11,0103,8/22/2014 4:58:45 PM ,3987,20.91,20.55,0.36,0.2,3406,0.057,0.371,0.315,0.1,0.854,0.5,0.49,STABLE,0.01,0.33,473,68,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
12,0103,8/22/2014 5:09:15 PM ,3698,20.91,20.58,0.33,0.2,2921,0.057,0.326,0.270,0.2,0.790,0.5,0.50,STABLE,0.01,0.34,46,10,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
13,0103,8/22/2014 5:19:45 PM ,3472,20.91,20.60,0.31,0.2,2728,0.057,0.309,0.252,0.2,0.786,0.5,0.49,STABLE,0.01,0.35,62,8,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
14,0103,8/22/2014 5:30:15 PM ,4154,20.91,20.54,0.37,0.2,3465,0.057,0.378,0.321,0.2,0.834,0.6,0.49,STABLE,0.14,0.49,303,122,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
15,0103,8/22/2014 5:40:45 PM ,4161,20.90,20.53,0.37,0.3,3596,0.057,0.390,0.332,0.2,0.864,0.6,0.49,STABLE,0.01,0.50,450,48,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
16,0103,8/22/2014 5:51:15 PM ,3593,20.90,20.58,0.32,0.3,2890,0.057,0.325,0.268,0.2,0.804,0.5,0.49,STABLE,0.00,0.50,85,5,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
17,0103,8/22/2014 6:01:45 PM ,3697,20.90,20.57,0.33,0.3,3020,0.057,0.337,0.280,0.2,0.817,0.5,0.49,STABLE,0.07,0.57,174,24,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
18,0103,8/22/2014 6:12:15 PM ,3591,20.90,20.58,0.32,0.3,3015,0.057,0.336,0.279,0.3,0.840,0.5,0.49,STABLE,0.02,0.59,107,52,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
19,0103,8/22/2014 6:22:45 PM ,3440,20.90,20.59,0.31,0.3,2935,0.057,0.329,0.272,0.3,0.853,0.5,0.49,STABLE,0.09,0.68,239,48,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
20,0103,8/22/2014 6:33:15 PM ,3809,20.90,20.56,0.34,0.3,3322,0.057,0.365,0.308,0.3,0.872,0.5,0.49,STABLE,0.02,0.70,83,13,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
21,0103,8/22/2014 6:43:45 PM ,4081,20.90,20.53,0.36,0.4,3424,0.057,0.374,0.317,0.3,0.839,0.5,0.49,STABLE,0.00,0.70,410,29,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
22,0103,8/22/2014 6:54:15 PM ,4274,20.91,20.54,0.38,0.4,3271,0.057,0.360,0.303,0.3,0.765,0.6,0.49,STABLE,0.14,0.84,240,102,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
23,0103,8/22/2014 7:04:45 PM ,3715,20.90,20.57,0.33,0.4,3196,0.057,0.353,0.295,0.3,0.860,0.5,0.49,STABLE,0.00,0.84,40,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
24,0103,8/22/2014 7:15:15 PM ,4479,20.90,20.50,0.40,0.4,3841,0.058,0.413,0.355,0.3,0.858,0.6,0.49,STABLE,0.01,0.85,540,178,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
25,0103,8/22/2014 7:25:45 PM ,4596,20.90,20.49,0.41,0.4,3857,0.058,0.415,0.357,0.4,0.839,0.6,0.49,STABLE,0.01,0.86,778,289,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
26,0103,8/22/2014 7:36:15 PM ,3980,20.90,20.55,0.35,0.5,3164,0.058,0.351,0.293,0.4,0.795,0.5,0.49,STABLE,0.10,0.96,262,58,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
27,0103,8/22/2014 7:46:45 PM ,4185,20.90,20.52,0.37,0.5,3524,0.059,0.385,0.326,0.4,0.842,0.6,0.49,STABLE,0.17,1.13,324,128,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
