Oxymax CSV File 

CSV Generation Date,7/11/2017 3:32:05 PM 
Experiment Started,8/22/2014 3:07:31 PM
Data Filename,\\Cifs2\bankslab$\CLAMS\METABOLIC BWH\Katie's Computer\CLAMS\CLAMS runs\Victor Navarro\2014-08-22 Experiment 1 (second half).CDTA

Group/Cage,0104
O2 Calibration Date,
CO2 Calibration Date,
Subject ID,KO2
Subject Mass (G), 26 
ko351,

Reference Settle Time (s), 85 
Reference Measure Time (s), 5 
Cage Settle Time (s), 85 
Cage Measure Time (s), 5 
Reference Method,EVRYNN=6
Heat Calculation Method,STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,BODY TEMP,RH SAMP,RH REF,RH PURGE,RH AMB,TEMP AMB,
#,,,ml/kg/hr,%,%,%,l,ml/kg/hr,%,%,%,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,degC,%,%,%,%,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0104,8/22/2014 3:15:15 PM ,4550,20.92,20.55,0.37,0.0,3412,0.055,0.351,0.296,0.0,0.750,0.6,0.50,STABLE,0.13,0.13,393,204,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
2,0104,8/22/2014 3:25:45 PM ,4082,20.91,20.57,0.34,0.0,3377,0.055,0.349,0.293,0.0,0.827,0.5,0.50,STABLE,0.02,0.15,143,17,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
3,0104,8/22/2014 3:36:15 PM ,3354,20.91,20.63,0.28,0.0,2673,0.056,0.288,0.232,0.0,0.797,0.4,0.50,STABLE,0.01,0.16,4,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
4,0104,8/22/2014 3:46:45 PM ,2964,20.92,20.67,0.25,0.1,2312,0.056,0.258,0.202,0.0,0.780,0.4,0.50,STABLE,-0.01,0.15,6,1,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
5,0104,8/22/2014 3:57:15 PM ,3705,20.91,20.60,0.31,0.1,2959,0.056,0.315,0.259,0.1,0.799,0.5,0.50,STABLE,0.00,0.15,124,15,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
6,0104,8/22/2014 4:07:45 PM ,3172,20.91,20.64,0.27,0.1,2585,0.056,0.285,0.229,0.1,0.815,0.4,0.49,STABLE,0.08,0.23,226,105,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
7,0104,8/22/2014 4:18:15 PM ,2924,20.91,20.67,0.25,0.1,2403,0.057,0.266,0.209,0.1,0.822,0.4,0.50,STABLE,-0.01,0.22,2,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
8,0104,8/22/2014 4:28:45 PM ,2990,20.91,20.66,0.25,0.1,2357,0.057,0.263,0.207,0.1,0.788,0.4,0.49,STABLE,0.01,0.23,21,7,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
9,0104,8/22/2014 4:39:15 PM ,3028,20.91,20.65,0.26,0.1,2429,0.057,0.270,0.214,0.1,0.802,0.4,0.49,STABLE,0.00,0.23,21,4,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
10,0104,8/22/2014 4:49:45 PM ,3501,20.91,20.61,0.30,0.1,2884,0.056,0.311,0.254,0.1,0.824,0.4,0.49,STABLE,0.13,0.36,102,22,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
11,0104,8/22/2014 5:00:15 PM ,3145,20.91,20.64,0.27,0.2,2610,0.057,0.286,0.229,0.1,0.830,0.4,0.49,STABLE,0.01,0.37,82,14,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
12,0104,8/22/2014 5:10:45 PM ,3039,20.91,20.65,0.26,0.2,2552,0.057,0.283,0.226,0.1,0.840,0.4,0.49,STABLE,-0.01,0.36,23,5,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
13,0104,8/22/2014 5:21:15 PM ,3105,20.91,20.65,0.26,0.2,2505,0.057,0.276,0.219,0.1,0.807,0.4,0.50,STABLE,0.01,0.37,26,8,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
14,0104,8/22/2014 5:31:45 PM ,3036,20.91,20.65,0.26,0.2,2525,0.057,0.277,0.220,0.2,0.832,0.4,0.50,STABLE,0.00,0.37,117,41,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
15,0104,8/22/2014 5:42:15 PM ,3586,20.90,20.60,0.30,0.2,2940,0.057,0.313,0.256,0.2,0.820,0.4,0.50,STABLE,0.04,0.41,141,11,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
16,0104,8/22/2014 5:52:45 PM ,4475,20.90,20.53,0.38,0.2,3825,0.057,0.390,0.333,0.2,0.855,0.6,0.50,STABLE,0.21,0.62,403,156,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
17,0104,8/22/2014 6:03:15 PM ,3655,20.90,20.59,0.32,0.2,3212,0.057,0.342,0.285,0.2,0.879,0.5,0.49,STABLE,-0.01,0.61,328,80,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
18,0104,8/22/2014 6:13:45 PM ,3484,20.90,20.61,0.29,0.3,2821,0.057,0.304,0.247,0.2,0.810,0.4,0.50,STABLE,-0.01,0.60,16,0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
19,0104,8/22/2014 6:24:15 PM ,3043,20.90,20.65,0.25,0.3,2460,0.057,0.272,0.215,0.2,0.808,0.4,0.50,STABLE,0.01,0.61,10,1,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
20,0104,8/22/2014 6:34:45 PM ,3313,20.90,20.63,0.28,0.3,2660,0.057,0.289,0.232,0.2,0.803,0.4,0.50,STABLE,0.00,0.61,21,8,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
21,0104,8/22/2014 6:45:15 PM ,3712,20.90,20.58,0.31,0.3,3220,0.057,0.338,0.281,0.3,0.867,0.5,0.50,STABLE,0.01,0.62,278,30,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
22,0104,8/22/2014 6:55:45 PM ,3279,20.91,20.64,0.27,0.3,2540,0.057,0.279,0.222,0.3,0.775,0.4,0.50,STABLE,-0.01,0.61,229,112,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
23,0104,8/22/2014 7:06:15 PM ,4230,20.90,20.54,0.36,0.3,3518,0.057,0.369,0.312,0.3,0.832,0.5,0.49,STABLE,0.09,0.70,363,149,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
24,0104,8/22/2014 7:16:45 PM ,3967,20.90,20.56,0.34,0.4,3402,0.058,0.355,0.297,0.3,0.858,0.5,0.50,STABLE,0.01,0.71,237,32,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
25,0104,8/22/2014 7:27:15 PM ,3695,20.90,20.59,0.31,0.4,3061,0.058,0.325,0.267,0.3,0.829,0.5,0.50,STABLE,0.13,0.84,127,67,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
26,0104,8/22/2014 7:37:45 PM ,3922,20.90,20.57,0.33,0.4,3339,0.058,0.350,0.291,0.3,0.851,0.5,0.50,STABLE,0.00,0.84,110,24,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
27,0104,8/22/2014 7:48:15 PM ,4751,20.90,20.49,0.40,0.4,4158,0.059,0.421,0.363,0.3,0.875,0.6,0.50,STABLE,0.00,0.84,733,349,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
