Oxymax CSV File 

CSV Generation Date,7/11/2017 3:32:08 PM 
Experiment Started,8/22/2014 3:07:31 PM
Data Filename,\\Cifs2\bankslab$\CLAMS\METABOLIC BWH\Katie's Computer\CLAMS\CLAMS runs\Victor Navarro\2014-08-22 Experiment 1 (second half).CDTA

Group/Cage,0105
O2 Calibration Date,
CO2 Calibration Date,
Subject ID,WT3
Subject Mass (G), 28.6 
WT355,

Reference Settle Time (s), 85 
Reference Measure Time (s), 5 
Cage Settle Time (s), 85 
Cage Measure Time (s), 5 
Reference Method,EVRYNN=6
Heat Calculation Method,STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,BODY TEMP,RH SAMP,RH REF,RH PURGE,RH AMB,TEMP AMB,
#,,,ml/kg/hr,%,%,%,l,ml/kg/hr,%,%,%,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,degC,%,%,%,%,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0105,8/22/2014 3:16:45 PM ,4111,20.92,20.54,0.38,0.0,3156,0.055,0.358,0.303,0.0,0.768,0.6,0.50,STABLE,0.00,0.00,469,41,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
2,0105,8/22/2014 3:27:15 PM ,3647,20.91,20.58,0.34,0.0,2934,0.055,0.337,0.282,0.0,0.804,0.5,0.50,STABLE,0.13,0.13,141,24,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
3,0105,8/22/2014 3:37:45 PM ,3766,20.91,20.57,0.35,0.0,3108,0.056,0.354,0.298,0.0,0.825,0.5,0.50,STABLE,0.00,0.13,473,40,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
4,0105,8/22/2014 3:48:15 PM ,3412,20.92,20.60,0.32,0.1,2799,0.056,0.325,0.269,0.0,0.820,0.5,0.50,STABLE,0.00,0.13,207,9,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
5,0105,8/22/2014 3:58:45 PM ,3539,20.91,20.59,0.33,0.1,2817,0.056,0.327,0.271,0.1,0.796,0.5,0.50,STABLE,0.03,0.16,67,18,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
6,0105,8/22/2014 4:09:15 PM ,3482,20.91,20.59,0.32,0.1,2680,0.056,0.314,0.258,0.1,0.770,0.5,0.50,DYNAMIC,-0.01,0.15,116,27,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
7,0105,8/22/2014 4:19:45 PM ,3198,20.91,20.61,0.30,0.1,2664,0.057,0.313,0.257,0.1,0.833,0.4,0.50,STABLE,0.08,0.23,96,22,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
8,0105,8/22/2014 4:30:15 PM ,3342,20.91,20.60,0.31,0.1,2769,0.057,0.323,0.267,0.1,0.828,0.5,0.49,STABLE,0.00,0.23,97,13,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
9,0105,8/22/2014 4:40:45 PM ,3054,20.91,20.63,0.28,0.1,2428,0.057,0.291,0.235,0.1,0.795,0.4,0.49,STABLE,-0.01,0.22,448,36,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
10,0105,8/22/2014 4:51:15 PM ,3297,20.91,20.60,0.30,0.2,2578,0.056,0.305,0.249,0.1,0.782,0.5,0.49,STABLE,0.01,0.23,319,24,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
11,0105,8/22/2014 5:01:45 PM ,3087,20.91,20.62,0.28,0.2,2380,0.057,0.286,0.230,0.1,0.771,0.4,0.49,STABLE,-0.01,0.22,224,3,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
12,0105,8/22/2014 5:12:15 PM ,3828,20.91,20.55,0.35,0.2,3022,0.057,0.348,0.291,0.2,0.790,0.5,0.49,STABLE,0.02,0.24,643,90,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
13,0105,8/22/2014 5:22:45 PM ,3118,20.91,20.62,0.29,0.2,2386,0.057,0.287,0.230,0.2,0.765,0.4,0.50,STABLE,-0.01,0.23,93,16,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
14,0105,8/22/2014 5:33:15 PM ,3291,20.91,20.61,0.30,0.2,2445,0.057,0.293,0.236,0.2,0.743,0.4,0.49,STABLE,-0.01,0.22,194,9,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
15,0105,8/22/2014 5:43:45 PM ,3123,20.90,20.62,0.29,0.2,2359,0.057,0.284,0.227,0.2,0.755,0.4,0.49,STABLE,0.02,0.24,121,19,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
16,0105,8/22/2014 5:54:15 PM ,3326,20.90,20.60,0.30,0.3,2514,0.057,0.300,0.243,0.2,0.756,0.5,0.49,STABLE,0.01,0.25,114,14,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
17,0105,8/22/2014 6:04:45 PM ,3330,20.90,20.60,0.31,0.3,2565,0.057,0.304,0.247,0.2,0.770,0.5,0.49,STABLE,-0.01,0.24,101,26,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
18,0105,8/22/2014 6:15:15 PM ,3845,20.90,20.55,0.36,0.3,3111,0.057,0.357,0.300,0.2,0.809,0.5,0.49,STABLE,0.05,0.29,215,24,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
19,0105,8/22/2014 6:25:45 PM ,3762,20.90,20.55,0.35,0.3,3151,0.057,0.361,0.304,0.2,0.838,0.5,0.49,STABLE,-0.01,0.28,770,82,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
20,0105,8/22/2014 6:36:15 PM ,4099,20.90,20.53,0.38,0.3,3153,0.057,0.361,0.304,0.3,0.769,0.6,0.49,STABLE,0.00,0.28,505,41,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
21,0105,8/22/2014 6:46:45 PM ,3415,20.90,20.59,0.31,0.3,2590,0.057,0.307,0.250,0.3,0.759,0.5,0.49,STABLE,0.00,0.28,129,2,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
22,0105,8/22/2014 6:57:15 PM ,3612,20.91,20.59,0.33,0.4,2606,0.057,0.309,0.251,0.3,0.722,0.5,0.49,STABLE,-0.01,0.27,61,16,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
23,0105,8/22/2014 7:07:45 PM ,4063,20.90,20.52,0.38,0.4,3367,0.057,0.382,0.325,0.3,0.829,0.6,0.49,STABLE,0.17,0.44,616,270,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
24,0105,8/22/2014 7:18:15 PM ,3520,20.90,20.57,0.33,0.4,3036,0.058,0.350,0.293,0.3,0.862,0.5,0.49,STABLE,-0.01,0.43,62,2,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
25,0105,8/22/2014 7:28:45 PM ,3840,20.90,20.54,0.36,0.4,3370,0.058,0.383,0.325,0.3,0.877,0.5,0.49,STABLE,0.00,0.43,394,46,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
26,0105,8/22/2014 7:39:15 PM ,3469,20.90,20.57,0.32,0.4,2971,0.058,0.345,0.287,0.3,0.857,0.5,0.49,STABLE,0.00,0.43,317,14,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
27,0105,8/22/2014 7:49:45 PM ,4084,20.90,20.51,0.38,0.5,3522,0.059,0.398,0.340,0.4,0.862,0.6,0.49,DYNAMIC,0.08,0.51,1099,587,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
