Oxymax CSV File 

CSV Generation Date,7/11/2017 3:32:12 PM 
Experiment Started,8/22/2014 3:07:31 PM
Data Filename,\\Cifs2\bankslab$\CLAMS\METABOLIC BWH\Katie's Computer\CLAMS\CLAMS runs\Victor Navarro\2014-08-22 Experiment 1 (second half).CDTA

Group/Cage,0106
O2 Calibration Date,
CO2 Calibration Date,
Subject ID,KO3
Subject Mass (G), 28.5 
ko350,

Reference Settle Time (s), 85 
Reference Measure Time (s), 5 
Cage Settle Time (s), 85 
Cage Measure Time (s), 5 
Reference Method,EVRYNN=6
Heat Calculation Method,STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,BODY TEMP,RH SAMP,RH REF,RH PURGE,RH AMB,TEMP AMB,
#,,,ml/kg/hr,%,%,%,l,ml/kg/hr,%,%,%,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,degC,%,%,%,%,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0106,8/22/2014 3:18:15 PM ,5187,20.92,20.45,0.47,0.0,3953,0.055,0.431,0.377,0.0,0.762,0.7,0.50,STABLE,0.00,0.00,1278,911,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
2,0106,8/22/2014 3:28:45 PM ,4621,20.91,20.49,0.42,0.0,3654,0.055,0.404,0.348,0.0,0.791,0.6,0.50,STABLE,0.00,0.00,762,350,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
3,0106,8/22/2014 3:39:15 PM ,4605,20.91,20.50,0.42,0.0,3618,0.056,0.400,0.344,0.0,0.786,0.6,0.50,STABLE,0.00,0.00,990,530,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
4,0106,8/22/2014 3:49:45 PM ,4638,20.92,20.49,0.42,0.1,3538,0.056,0.393,0.337,0.1,0.763,0.6,0.50,STABLE,0.02,0.02,1161,689,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
5,0106,8/22/2014 4:00:15 PM ,4228,20.91,20.53,0.38,0.1,3298,0.056,0.370,0.314,0.1,0.780,0.6,0.50,STABLE,-0.01,0.01,483,113,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
6,0106,8/22/2014 4:10:45 PM ,3932,20.91,20.56,0.36,0.1,2939,0.056,0.337,0.280,0.1,0.748,0.5,0.50,STABLE,0.00,0.01,182,19,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
7,0106,8/22/2014 4:21:15 PM ,3451,20.91,20.60,0.31,0.1,2494,0.057,0.294,0.238,0.1,0.723,0.5,0.50,STABLE,0.01,0.02,53,5,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
8,0106,8/22/2014 4:31:45 PM ,3167,20.91,20.62,0.29,0.1,2412,0.057,0.287,0.231,0.1,0.762,0.4,0.50,STABLE,0.04,0.06,130,60,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
9,0106,8/22/2014 4:42:15 PM ,3146,20.91,20.62,0.29,0.2,2436,0.057,0.289,0.232,0.1,0.774,0.4,0.50,STABLE,0.01,0.07,12,5,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
10,0106,8/22/2014 4:52:45 PM ,3171,20.91,20.62,0.29,0.2,2533,0.056,0.299,0.242,0.1,0.799,0.4,0.50,STABLE,0.00,0.07,44,19,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
11,0106,8/22/2014 5:03:15 PM ,4578,20.91,20.48,0.42,0.2,3883,0.057,0.427,0.370,0.2,0.848,0.6,0.50,STABLE,0.21,0.28,759,470,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
12,0106,8/22/2014 5:13:45 PM ,4644,20.91,20.48,0.43,0.2,4058,0.057,0.444,0.387,0.2,0.874,0.6,0.50,STABLE,0.06,0.34,1205,651,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
13,0106,8/22/2014 5:24:15 PM ,4311,20.91,20.51,0.40,0.2,3761,0.057,0.415,0.358,0.2,0.872,0.6,0.50,STABLE,-0.01,0.33,511,141,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
14,0106,8/22/2014 5:34:45 PM ,4092,20.91,20.53,0.38,0.3,3413,0.057,0.384,0.327,0.2,0.834,0.6,0.50,STABLE,0.02,0.35,586,164,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
15,0106,8/22/2014 5:45:15 PM ,3379,20.90,20.59,0.31,0.3,2706,0.057,0.317,0.260,0.2,0.801,0.5,0.49,STABLE,-0.01,0.34,59,2,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
16,0106,8/22/2014 5:55:45 PM ,3399,20.90,20.59,0.31,0.3,2803,0.057,0.326,0.269,0.2,0.825,0.5,0.50,STABLE,0.00,0.34,142,92,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
17,0106,8/22/2014 6:06:15 PM ,2929,20.90,20.63,0.27,0.3,2342,0.057,0.281,0.224,0.3,0.799,0.4,0.50,STABLE,0.01,0.35,394,195,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
18,0106,8/22/2014 6:16:45 PM ,3070,20.90,20.62,0.28,0.3,2435,0.057,0.290,0.233,0.3,0.793,0.4,0.50,STABLE,0.01,0.36,57,19,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
19,0106,8/22/2014 6:27:15 PM ,3585,20.90,20.57,0.33,0.3,2879,0.057,0.332,0.275,0.3,0.803,0.5,0.50,STABLE,0.15,0.51,87,26,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
20,0106,8/22/2014 6:37:45 PM ,3784,20.90,20.55,0.35,0.4,3301,0.057,0.373,0.316,0.3,0.873,0.5,0.50,STABLE,0.00,0.51,400,59,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
21,0106,8/22/2014 6:48:15 PM ,3297,20.90,20.60,0.30,0.4,2682,0.057,0.313,0.256,0.3,0.813,0.5,0.50,STABLE,0.00,0.51,33,5,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
22,0106,8/22/2014 6:58:45 PM ,3698,20.91,20.58,0.34,0.4,2933,0.057,0.338,0.281,0.3,0.793,0.5,0.50,STABLE,0.13,0.64,80,26,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
23,0106,8/22/2014 7:09:15 PM ,3446,20.90,20.58,0.32,0.4,2997,0.057,0.344,0.286,0.3,0.870,0.5,0.50,STABLE,0.00,0.64,57,24,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
24,0106,8/22/2014 7:19:45 PM ,3890,20.90,20.54,0.36,0.4,3408,0.058,0.384,0.326,0.4,0.876,0.5,0.50,STABLE,0.00,0.64,343,57,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
25,0106,8/22/2014 7:30:15 PM ,4378,20.90,20.49,0.41,0.5,3732,0.058,0.414,0.356,0.4,0.853,0.6,0.50,STABLE,0.00,0.64,337,55,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
26,0106,8/22/2014 7:40:45 PM ,4033,20.90,20.53,0.37,0.5,3272,0.058,0.371,0.313,0.4,0.811,0.6,0.50,STABLE,0.00,0.64,335,93,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
27,0106,8/22/2014 7:51:15 PM ,3984,20.90,20.53,0.36,0.5,3184,0.059,0.363,0.304,0.4,0.799,0.5,0.50,STABLE,0.00,0.64,67,27,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,
