"","subject.id","subject.mass","cage","Date.Time","vo2","vco2","ee","rer","feed","feed.acc","drink","drink.acc","xytot","xyamb","pedmeter","allmeter","body.temp","hour","day","exp.hour","exp.day"
"1","2136 wt",1,"0111",2017-04-10 14:40:57,58.572,44.199,0.3,0.755,0,0,NA,NA,1430,91,NA,NA,36.5,2017-04-10 14:00:00,2017-04-10,0,0
"2","2136 wt",1,"0111",2017-04-10 15:06:57,81.785,64.637,0.4,0.79,0.01,0.01,NA,NA,868,113,NA,NA,36.2,2017-04-10 15:00:00,2017-04-10,1,0
"3","2136 wt",1,"0111",2017-04-10 15:32:57,63.564,46.948,0.3,0.739,0,0.01,NA,NA,1055,291,NA,NA,36.6,2017-04-10 15:00:00,2017-04-10,1,0
"4","2136 wt",1,"0111",2017-04-10 15:58:57,90.463,70.909,0.4,0.784,0,0.01,NA,NA,1189,176,NA,NA,36.4,2017-04-10 15:00:00,2017-04-10,1,0
"5","2136 wt",1,"0111",2017-04-10 16:24:57,54.116,40.651,0.3,0.751,0.01,0.02,NA,NA,2368,442,NA,NA,36.5,2017-04-10 16:00:00,2017-04-10,2,0
"6","2136 wt",1,"0111",2017-04-10 16:48:57,56.267,40.965,0.3,0.728,0,0.02,NA,NA,135,20,NA,NA,36.4,2017-04-10 16:00:00,2017-04-10,2,0
"7","2136 wt",1,"0111",2017-04-10 17:14:57,57.057,42.045,0.3,0.737,0,0.02,NA,NA,469,19,NA,NA,36.3,2017-04-10 17:00:00,2017-04-10,3,0
"8","2136 wt",1,"0111",2017-04-10 17:40:57,53.454,40.408,0.3,0.756,0.01,0.03,NA,NA,292,26,NA,NA,36.2,2017-04-10 17:00:00,2017-04-10,3,0
"9","2136 wt",1,"0111",2017-04-10 18:06:57,88.804,69.856,0.4,0.787,0.11,0.14,NA,NA,1993,523,NA,NA,36.4,2017-04-10 18:00:00,2017-04-10,4,0
"10","2136 wt",1,"0111",2017-04-10 18:32:57,60.249,45.481,0.3,0.755,0,0.14,NA,NA,1487,381,NA,NA,36.6,2017-04-10 18:00:00,2017-04-10,4,0
"11","2136 wt",1,"0111",2017-04-10 18:58:57,59.622,46.096,0.3,0.773,-0.04,0.1,NA,NA,299,27,NA,NA,36.2,2017-04-10 18:00:00,2017-04-10,4,0
"12","2136 wt",1,"0111",2017-04-10 19:22:57,84.756,64.393,0.4,0.76,0.04,0.14,NA,NA,2224,485,NA,NA,36.3,2017-04-10 19:00:00,2017-04-10,5,0
"13","2136 wt",1,"0111",2017-04-10 19:48:57,98.806,78.296,0.5,0.792,0.09,0.23,NA,NA,3610,1352,NA,NA,36.7,2017-04-10 19:00:00,2017-04-10,5,0
"14","2136 wt",1,"0111",2017-04-10 20:14:57,103.119,79.267,0.5,0.769,0.01,0.24,NA,NA,2591,653,NA,NA,36.9,2017-04-10 20:00:00,2017-04-10,6,0
"15","2136 wt",1,"0111",2017-04-10 20:40:57,86.842,67.159,0.4,0.773,0.01,0.25,NA,NA,651,100,NA,NA,36.6,2017-04-10 20:00:00,2017-04-10,6,0
"16","2136 wt",1,"0111",2017-04-10 21:06:57,103.069,81.442,0.5,0.79,0.06,0.31,NA,NA,1204,146,NA,NA,36.5,2017-04-10 21:00:00,2017-04-10,7,0
"17","2136 wt",1,"0111",2017-04-10 21:32:57,109.592,86.214,0.5,0.787,0.04,0.35,NA,NA,2107,502,NA,NA,36.8,2017-04-10 21:00:00,2017-04-10,7,0
"18","2136 wt",1,"0111",2017-04-10 21:56:57,78.199,58.275,0.4,0.745,0,0.35,NA,NA,2561,910,NA,NA,37,2017-04-10 21:00:00,2017-04-10,7,0
"19","2136 wt",1,"0111",2017-04-10 22:22:57,115.711,87.314,0.5,0.755,0.08,0.43,NA,NA,3604,1333,NA,NA,37.2,2017-04-10 22:00:00,2017-04-10,8,0
"20","2136 wt",1,"0111",2017-04-10 22:48:57,108.454,82.071,0.5,0.757,0,0.43,NA,NA,1245,316,NA,NA,37,2017-04-10 22:00:00,2017-04-10,8,0
"21","2136 wt",1,"0111",2017-04-10 23:14:57,87.721,64.949,0.4,0.74,0.11,0.54,NA,NA,2662,636,NA,NA,37.1,2017-04-10 23:00:00,2017-04-10,9,0
"22","2136 wt",1,"0111",2017-04-10 23:40:57,111.787,87.425,0.5,0.782,0.06,0.6,NA,NA,4054,1369,NA,NA,37.4,2017-04-10 23:00:00,2017-04-10,9,0
"23","2136 wt",1,"0111",2017-04-11 00:06:57,78.572,60.671,0.4,0.772,0.04,0.64,NA,NA,5833,486,NA,NA,37.1,2017-04-11 00:00:00,2017-04-11,10,1
"24","2136 wt",1,"0111",2017-04-11 00:30:57,91.652,68.745,0.4,0.75,0.1,0.74,NA,NA,2966,834,NA,NA,37,2017-04-11 00:00:00,2017-04-11,10,1
"25","2136 wt",1,"0111",2017-04-11 00:56:57,108.11,85.985,0.5,0.795,0,0.74,NA,NA,2176,105,NA,NA,36.9,2017-04-11 00:00:00,2017-04-11,10,1
"26","2136 wt",1,"0111",2017-04-11 01:22:57,111.22,83.4,0.5,0.75,-0.01,0.73,NA,NA,3846,847,NA,NA,37,2017-04-11 01:00:00,2017-04-11,11,1
"27","2136 wt",1,"0111",2017-04-11 01:48:57,94.033,70.31,0.4,0.748,0.01,0.74,NA,NA,1814,257,NA,NA,36.8,2017-04-11 01:00:00,2017-04-11,11,1
"28","2136 wt",1,"0111",2017-04-11 02:14:57,110.799,82.788,0.5,0.747,0.04,0.78,NA,NA,3347,536,NA,NA,36.9,2017-04-11 02:00:00,2017-04-11,12,1
